,ID,Latitude,Longitude,SOx,CO2,NOx,Height,Diam,Velocity,Temp,PM2.5 pop exposure due to NOx ems,PM2.5 pop exposure due to SOx ems,Total PM2.5 pop exposure
1089," ""10378-BLR02B""",33.9444,-78.0125,0,0,77.586, NA, NA, NA, NA,1267.548096,0,1267.548096
1090," ""10378-BLR02C""",33.9444,-78.0125,0,0,62.783, NA, NA, NA, NA,1025.706665,0,1025.706665
1091," ""10379-BLR01A""",36.435,-78.9619,0,0,56.839, NA, NA, NA, NA,1251.586304,0,1251.586304
1092," ""10379-BLR01B""",36.435,-78.9619,0,0,65.407, NA, NA, NA, NA,1440.252319,0,1440.252319
1093," ""10379-BLR01C""",36.435,-78.9619,0,0,59.956, NA, NA, NA, NA,1320.222046,0,1320.222046
1094," ""10380-UNIT1""",34.6474,-78.6407,21.882,4120.534,8.756, NA, NA, NA, NA,309.666992,499.008514,808.675507
1095," ""10380-UNIT2""",34.6474,-78.6407,33.674,5992.771,14.522, NA, NA, NA, NA,513.588867,767.919434,1281.508301
1096," ""10382-UNIT1""",34.59,-78.9968,36.708,6454.678,12.697, NA, NA, NA, NA,449.045441,837.108398,1286.153839
1097," ""10382-UNIT2""",34.59,-78.9968,40.718,7014.497,14.442, NA, NA, NA, NA,510.759521,928.554504,1439.314026
1098," ""10384-BLR01A""",36.0378,-77.7542,0,0,169.826, NA, NA, NA, NA,4917.675781,0,4917.675781
1099," ""10384-BLR01B""",36.0378,-77.7542,0,0,166.598, NA, NA, NA, NA,4824.20166,0,4824.20166
1100," ""10384-BLR02A""",36.0378,-77.7542,0,0,158.602, NA, NA, NA, NA,4592.660645,0,4592.660645
1101," ""10384-BLR02B""",36.0378,-77.7542,0,0,153.884, NA, NA, NA, NA,4456.040527,0,4456.040527
1102," ""10464-E0001""",44.0361,-75.7712,0,0,171.341, NA, NA, NA, NA,5564.150879,0,5564.150879
1103," ""10464-E0002""",44.0361,-75.7712,0,0,165.193, NA, NA, NA, NA,5364.499512,0,5364.499512
